Comune;Provincia;Regione;Nome;Anno inserimento;Data e ora inserimento;Identificatore in OpenStreetMap;Longitudine;Latitudine
BORDIGHERA;IMPERIA;Liguria;;2014;2014-10-23T12:37:49Z;3145392500;7.6868538;43.7793143
DIANO MARINA;IMPERIA;Liguria;;2014;2014-10-23T12:37:50Z;3145392514;8.07754609999999;43.8898164
DIANO MARINA;IMPERIA;Liguria;;2014;2014-10-23T12:37:50Z;3145392515;8.0843744;43.8998771999999
IMPERIA;IMPERIA;Liguria;;2014;2014-10-23T12:37:50Z;3145392510;8.0562284;43.8289122999999
SAN BARTOLOMEO AL MARE;IMPERIA;Liguria;;2014;2014-10-23T12:37:50Z;3145392516;8.1090655;43.9171568
SAN REMO;IMPERIA;Liguria;;2014;2014-10-23T12:37:49Z;3145392501;7.814972;43.7835802
SAN REMO;IMPERIA;Liguria;;2014;2014-10-23T12:37:49Z;3145392505;7.7988885;43.8069573
SAN REMO;IMPERIA;Liguria;;2014;2014-10-23T12:37:49Z;3145392507;7.8004652;43.8149771
SANTO STEFANO AL MARE;IMPERIA;Liguria;;2012;2012-10-31T13:48:04Z;298889633;7.9095823;43.805641
SANTO STEFANO AL MARE;IMPERIA;Liguria;;2014;2014-10-23T12:37:49Z;3145392506;7.909425;43.8090618
SANTO STEFANO AL MARE;IMPERIA;Liguria;;2014;2014-10-23T12:37:50Z;3145392508;7.909425;43.8154889999999
SANTO STEFANO AL MARE;IMPERIA;Liguria;;2014;2014-10-23T12:37:50Z;3145392509;7.8898719;43.8208924999999
ALBENGA;SAVONA;Liguria;;2014;2014-10-23T12:37:51Z;3145392529;8.249145;44.0386402999999
ALBENGA;SAVONA;Liguria;;2014;2014-10-23T12:37:51Z;3145392532;8.24522359999999;44.0482884999999
ANDORA;SAVONA;Liguria;;2014;2014-10-23T12:37:50Z;3145392517;8.14892049999999;43.9393247
ANDORA;SAVONA;Liguria;;2014;2014-10-23T12:37:50Z;3145392520;8.1665452;43.9451793
BERGEGGI;SAVONA;Liguria;;2014;2014-10-23T12:37:53Z;3145392567;8.4567254;44.2754242999999
BORGHETTO SANTO SPIRITO;SAVONA;Liguria;;2014;2014-10-23T12:37:51Z;3145392539;8.2526863;44.0993884
FINALE LIGURE;SAVONA;Liguria;;2014;2014-10-23T12:37:51Z;3145392541;8.39757799999999;44.1106996999999
FINALE LIGURE;SAVONA;Liguria;;2014;2014-10-23T12:37:52Z;3145392550;8.3540709;44.1605490999999
LAIGUEGLIA;SAVONA;Liguria;;2014;2014-10-23T12:37:50Z;3145392519;8.2094173;43.9444403999999
LAIGUEGLIA;SAVONA;Liguria;;2014;2014-10-23T12:37:50Z;3145392522;8.1824242;43.9583094999999
LOANO;SAVONA;Liguria;;2014;2014-10-23T12:37:52Z;3145392544;8.2675331;44.1230340999999
LOANO;SAVONA;Liguria;;2014;2014-10-23T12:37:52Z;3145392546;8.2868254;44.130935
NOLI;SAVONA;Liguria;;2014;2014-10-23T12:37:52Z;3145392554;8.4333047;44.1964156
SAVONA;SAVONA;Liguria;;2014;2014-10-23T12:37:53Z;3145392571;8.4921343;44.2874745
SAVONA;SAVONA;Liguria;;2014;2014-12-21T09:43:13Z;3145392580;8.5127766;44.316577
SPOTORNO;SAVONA;Liguria;;2014;2014-10-23T12:37:53Z;3145392557;8.4221895;44.2259159999999
VARAZZE;SAVONA;Liguria;;2014;2014-10-23T12:37:53Z;3145392566;8.6885517;44.2741738
VARAZZE;SAVONA;Liguria;;2014;2014-10-23T12:37:54Z;3145392586;8.5794662;44.3449406
VARAZZE;SAVONA;Liguria;;2014;2014-10-23T12:37:55Z;3145392587;8.6340089;44.3556834999999
ARENZANO;CITTA' METROPOLITANA DI GENOVA;Liguria;Haven;2016;2016-02-16T20:03:53Z;1610771994;8.699883;44.3738189999999
CAMOGLI;CITTA' METROPOLITANA DI GENOVA;Liguria;;2014;2014-10-23T12:37:54Z;3145392577;9.1352935;44.3115182
CAMOGLI;CITTA' METROPOLITANA DI GENOVA;Liguria;;2014;2014-10-23T12:37:54Z;3145392581;9.1269573;44.3172591
GENOVA;CITTA' METROPOLITANA DI GENOVA;Liguria;;2014;2014-10-23T12:37:55Z;3145392588;8.9916722;44.3565929
GENOVA;CITTA' METROPOLITANA DI GENOVA;Liguria;;2014;2014-10-23T12:37:55Z;3145392589;8.755559;44.3577865999999
GENOVA;CITTA' METROPOLITANA DI GENOVA;Liguria;;2014;2014-10-23T12:37:55Z;3145392590;8.9769055;44.3610833999999
GENOVA;CITTA' METROPOLITANA DI GENOVA;Liguria;;2014;2014-10-23T12:37:55Z;3145392591;8.9130739;44.3685862999999
GENOVA;CITTA' METROPOLITANA DI GENOVA;Liguria;;2014;2014-10-23T12:37:55Z;3145392593;8.7495253;44.3692116
GENOVA;CITTA' METROPOLITANA DI GENOVA;Liguria;;2014;2014-10-23T12:37:55Z;3145392594;8.8368567;44.3699505
GENOVA;CITTA' METROPOLITANA DI GENOVA;Liguria;;2014;2014-10-23T12:37:55Z;3145392595;8.9878616;44.3707463
GENOVA;CITTA' METROPOLITANA DI GENOVA;Liguria;;2014;2014-10-23T12:37:55Z;3145392596;8.8528147;44.3715420999999
GENOVA;CITTA' METROPOLITANA DI GENOVA;Liguria;;2014;2014-10-23T12:37:55Z;3145392597;8.8347928;44.3731336
GENOVA;CITTA' METROPOLITANA DI GENOVA;Liguria;;2014;2014-10-23T12:37:55Z;3145392598;8.9911169;44.3753504
GENOVA;CITTA' METROPOLITANA DI GENOVA;Liguria;;2014;2014-10-23T12:37:55Z;3145392599;8.8617069;44.3833081
GENOVA;CITTA' METROPOLITANA DI GENOVA;Liguria;;2014;2014-10-23T12:37:56Z;3145392601;8.8883033;44.3922889999999
LAVAGNA;CITTA' METROPOLITANA DI GENOVA;Liguria;;2014;2014-10-23T12:37:53Z;3145392565;9.33308929999999;44.2662849
LAVAGNA;CITTA' METROPOLITANA DI GENOVA;Liguria;;2014;2014-10-23T12:37:53Z;3145392570;9.3289323;44.2856622999999
